id	type	address	number	postal_code	municipality	province	location	public	available	hours	latitude	longitude
15777	Appareil fixe-Vast apparaat	Avenue louise 143 1050 ELSENE	143	1050	ELSENE	Bruxelles-Brussel	8e Verdieping	Oui-Ja	NA	NA	50.82914	4.3613818
9230	NA	Avenue Louise 149 1050 Brussel	149	1050	Brussel	Bruxelles-Brussel	NA	Y	NA	NA	50.8285363	4.3618962
16034	Appareil fixe-Vast apparaat	Avenue louise 222 1000 BRUSSEL	222	1000	BRUSSEL	Bruxelles-Brussel	6e verdieping Inkom	Oui-Ja	NA	NA	50.8264649	4.3652876
13070	Appareil fixe-Vast apparaat	avenue Louise 222 1000 Bruxelles	222	1000	Bruxelles	Bruxelles-Brussel	Accueil	Oui-Ja	Non-Nee	NA	50.8264649	4.3652876
1262	NA	Avenue Louise 23 1050 Bruxelles	23	1050	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8345361	4.3561326
769	NA	Avenue Louise 480  480 1050 Bruxelles	480	1050	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8200117	4.3705238
3011	NA	Avenue Louise 480 1050 Bruxelles	480	1050	Bruxelles	Bruxelles-Brussel	12ème étage immeuble	NA	NA	NA	50.8171126	4.3720834
16182	Appareil fixe-Vast apparaat	Avenue Louise 489 1050 Bruxelles	489	1050	Bruxelles	Bruxelles-Brussel	6ème étage, réception Bandwidth	Non-Nee	Non-Nee	9h00-17h30	50.8166828	4.3712813
9273	NA	Avenue Louise 523 1050 Bruxelles	523	1050	Bruxelles	Bruxelles-Brussel	NA	Y	NA	NA	50.8152736	4.3718105
16368	Appareil fixe-Vast apparaat	Avenue Louise 523 1050 Ixelles	523	1050	Ixelles	Bruxelles-Brussel	réception 4e étage	Non-Nee	Non-Nee	8h30-17h30	50.8355735	4.3556693
1422	NA	Avenue Louise 65 1050 Bruxelles	65	1050	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8329471	4.3574459
13849	Appareil fixe-Vast apparaat	Avenue Luxembourg 416 7010 Shape	416	7010	Shape	Hainaut	Par l entrée principale, 5 mètres plus loin sur votre gauche, devant la première salle de classe.	Oui-Ja	Non-Nee	Lundi à vendredi: 8h à 16h30 	49.77682495	6.09239101
12426	Appareil fixe-Vast apparaat	avenue Maistriau 19 7000 Mons	19	7000	Mons	Hainaut	Accueil	Oui-Ja	Non-Nee	NA	50.46499035	3.9572003531726
